site_no,sample_datetime,qualifier_flag,value,sdl,mdl,variable_code,unit,variable,variable_fr,qa_status,sample_id
BC08NL0001,2000-01-11 09:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY000115
BC08NL0001,2000-01-11 09:15:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY000115
BC08NL0001,2000-01-11 09:15:00,nan,136.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY000115
BC08NL0001,2000-01-11 09:15:00,nan,-1.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY000115
BC08NL0001,2000-01-11 09:15:00,nan,0.44,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY000115
BC08NL0001,2000-01-25 12:15:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY000307
BC08NL0001,2000-01-25 12:15:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY000307
BC08NL0001,2000-01-25 12:15:00,nan,141.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY000307
BC08NL0001,2000-01-25 12:15:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY000307
BC08NL0001,2000-01-25 12:15:00,nan,0.43,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY000307
BC08NL0001,2000-02-09 10:25:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY000515
BC08NL0001,2000-02-09 10:25:00,<,2.0,2.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY000515
BC08NL0001,2000-02-09 10:25:00,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY000515
BC08NL0001,2000-02-09 10:25:00,nan,149.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY000515
BC08NL0001,2000-02-09 10:25:00,nan,0.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY000515
BC08NL0001,2000-02-09 10:25:00,nan,0.38,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY000515
BC08NL0001,2000-02-22 08:30:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY000730
BC08NL0001,2000-02-22 08:30:00,<,2.0,1.0,,1094,CFU/100ML,FECAL COLIFORMS,COLIFORMES FÉCAUX,P,00PY000730
BC08NL0001,2000-02-22 08:30:00,nan,0.0009,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P,00PY000730
BC08NL0001,2000-02-22 08:30:00,nan,153.0,2.0,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,V,00PY000730
BC08NL0001,2000-02-22 08:30:00,nan,1.0,,,1125,DEG C,TEMPERATURE (WATER),TEMPÉRATURE (EAU),P,00PY000730
BC08NL0001,2000-02-22 08:30:00,nan,0.54,0.05,,2074,NTU,TURBIDITY,TURBIDITÉ,V,00PY000730
BC08NL0001,2000-03-07 14:25:00,nan,0.0003,0.0001,,100250,MG/L,ARSENIC TOTAL,ARSENIC TOTAL,P,00PY001168
